Reference, Quantity, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
C1 ,1,"1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C16 C17 C18 ,3,"0.1u","Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4","~"
C2 C3 C4 C5 C6 C7 C10 C11 C12 C13 C14 C15 ,12,"0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C8 C9 ,2,"10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
D1 D2 ,2,"1N4148","digikey-footprints:Diode_DO-35_P10mm","https://www.onsemi.com/pub/Collateral/1N914-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/1N914-D.PDF","/product-detail/en/on-semiconductor/1N4148/1N4148FS-ND/458603","DIODE GEN PURP 100V 200MA DO35","1N4148FS-ND","Diodes - Rectifiers - Single","1N4148","ON Semiconductor","Active"
R2 R4 ,2,"220","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R5 ,1,"2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R1 R3 R6 R7 R8 ,5,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
RV1 ,1,"R_POT","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
TP1 ,1,"Vc","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP10 ,1,"Vclock","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP11 ,1,"Vsn+1","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP12 ,1,"Vclock-","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP13 ,1,"Vsn+1/2","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP14 ,1,"Vsn","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP15 ,1,"V+3.3","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP2 ,1,"ana_out","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP3 ,1,"GND","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP4 ,1,"V+","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP5 ,1,"V-","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP6 ,1,"Vbuffer","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP7 ,1,"Vctrl","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP8 ,1,"ana_in","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
TP9 ,1,"VcompA","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
U1 ,1,"LM339AN","digikey-footprints:DIP-14_W3mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm139a","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm139a","/product-detail/en/texas-instruments/LM339AN/296-6605-5-ND/372806","IC QUAD DIFF COMPARATOR 14-DIP","296-6605-5-ND","Linear - Comparators","LM339AN","Texas Instruments","Active"
U2 U3 ,2,"TL082IP","digikey-footprints:DIP-8_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl081a","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl081a","/product-detail/en/texas-instruments/TL082IP/296-1781-5-ND/277426","IC OPAMP JFET 2 CIRCUIT 8DIP","296-1781-5-ND","Linear - Amplifiers - Instrumentation, OP Amps, Buffer Amps","TL082IP","Texas Instruments","Active"
U4 U5 U6 ,3,"LF398_DIP8","digikey-footprints:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lf398-n.pdf"
